name,url,description,duration,adaptive_support,remote_support,test_type
Drupal New,https://www.shl.com/solutions/products/product-catalog/view/drupal-new/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
English Comprehension New,https://www.shl.com/solutions/products/product-catalog/view/english-comprehension-new/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Entry Level Sales 7 1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-7-1/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Personality & Behavior']
Entry Level Sales Sift Out 7 1,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-sift-out-7-1/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Personality & Behavior']
Entry Level Sales Solution,https://www.shl.com/solutions/products/product-catalog/view/entry-level-sales-solution/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Personality & Behavior']
Financial Professional Short Form,https://www.shl.com/solutions/products/product-catalog/view/financial-professional-short-form/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
General Entry Level Data Entry 7 0 Solution,https://www.shl.com/solutions/products/product-catalog/view/general-entry-level-data-entry-7-0-solution/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Global Skills Assessment,https://www.shl.com/solutions/products/product-catalog/view/global-skills-assessment/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Htmlcss New,https://www.shl.com/solutions/products/product-catalog/view/htmlcss-new/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Java 8 New,https://www.shl.com/solutions/products/product-catalog/view/java-8-new/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Javascript New,https://www.shl.com/solutions/products/product-catalog/view/javascript-new/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Manager 8 0 Jfa 4310,https://www.shl.com/solutions/products/product-catalog/view/manager-8-0-jfa-4310/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Manual Testing New,https://www.shl.com/solutions/products/product-catalog/view/manual-testing-new/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Marketing New,https://www.shl.com/solutions/products/product-catalog/view/marketing-new/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Microsoft Excel 365 Essentials New,https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-essentials-new/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Microsoft Excel 365 New,https://www.shl.com/solutions/products/product-catalog/view/microsoft-excel-365-new/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Occupational Personality Questionnaire Opq32R,https://www.shl.com/solutions/products/product-catalog/view/occupational-personality-questionnaire-opq32r/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Personality & Behavior']
Opq Leadership Report,https://www.shl.com/solutions/products/product-catalog/view/opq-leadership-report/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Personality & Behavior']
Opq Team Types And Leadership Styles Report,https://www.shl.com/solutions/products/product-catalog/view/opq-team-types-and-leadership-styles-report,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Personality & Behavior']
Professional 7 0 Solution 3958,https://www.shl.com/solutions/products/product-catalog/view/professional-7-0-solution-3958/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Professional 7 1 Solution,https://www.shl.com/solutions/products/product-catalog/view/professional-7-1-solution/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Python New,https://www.shl.com/solutions/products/product-catalog/view/python-new/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Sales Representative Solution,https://www.shl.com/solutions/products/product-catalog/view/sales-representative-solution/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Personality & Behavior']
Search Engine Optimization New,https://www.shl.com/solutions/products/product-catalog/view/search-engine-optimization-new/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Selenium New,https://www.shl.com/solutions/products/product-catalog/view/selenium-new/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Shl Verify Interactive Inductive Reasoning,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-inductive-reasoning/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Shl Verify Interactive Numerical Calculation,https://www.shl.com/solutions/products/product-catalog/view/shl-verify-interactive-numerical-calculation/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Sql Server Analysis Services %28Ssas%29 %28New%29,https://www.shl.com/solutions/products/product-catalog/view/sql-server-analysis-services-%28ssas%29-%28new%29/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Sql Server New,https://www.shl.com/solutions/products/product-catalog/view/sql-server-new/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Svar Spoken English Indian Accent New,https://www.shl.com/solutions/products/product-catalog/view/svar-spoken-english-indian-accent-new/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Tableau New,https://www.shl.com/solutions/products/product-catalog/view/tableau-new/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Technical Sales Associate Solution,https://www.shl.com/solutions/products/product-catalog/view/technical-sales-associate-solution/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Personality & Behavior']
Verify Numerical Ability,https://www.shl.com/solutions/products/product-catalog/view/verify-numerical-ability/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Verify Verbal Ability Next Generation,https://www.shl.com/solutions/products/product-catalog/view/verify-verbal-ability-next-generation/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
Writex Email Writing Sales New,https://www.shl.com/solutions/products/product-catalog/view/writex-email-writing-sales-new/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Personality & Behavior']
Written English V1,https://www.shl.com/solutions/products/product-catalog/view/written-english-v1/,SHL assessment used for talent evaluation.,-1,Yes,Yes,['Knowledge & Skills']
